"run_id","scenario_id","scenario_name","scenario_mode","htf_alignment_id","htf_alignment_mode","htf_alignment_value","break_even_id","break_even_mode","break_even_value","preset","tester_ini"
"london_first120__h4_bias_h1_rev__be_1_1r","london_first120","london_first120_reference","6","h4_bias_h1_rev","h4_bias_h1_reversal_alignment","1","be_1_1r","break_even_at_1_1r","2","reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__h4_bias_h1_rev__be_1_1r_2025.set","reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__h4_bias_h1_rev__be_1_1r_2025.ini"
"london_first120__h4_bias_h1_rev__be_30m_0_5r","london_first120","london_first120_reference","6","h4_bias_h1_rev","h4_bias_h1_reversal_alignment","1","be_30m_0_5r","time_30min_and_0_5r_break_even","3","reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__h4_bias_h1_rev__be_30m_0_5r_2025.set","reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__h4_bias_h1_rev__be_30m_0_5r_2025.ini"
"london_first120__h1_conf_h4_notopp__no_be","london_first120","london_first120_reference","6","h1_conf_h4_notopp","h1_confirmed_h4_not_opposite","2","no_be","no_break_even","0","reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__h1_conf_h4_notopp__no_be_2025.set","reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__h1_conf_h4_notopp__no_be_2025.ini"
"london_first120__h1_conf_h4_notopp__be_1_0r","london_first120","london_first120_reference","6","h1_conf_h4_notopp","h1_confirmed_h4_not_opposite","2","be_1_0r","break_even_at_1_0r","1","reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__h1_conf_h4_notopp__be_1_0r_2025.set","reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__h1_conf_h4_notopp__be_1_0r_2025.ini"
"london_first120__h1_conf_h4_notopp__be_1_1r","london_first120","london_first120_reference","6","h1_conf_h4_notopp","h1_confirmed_h4_not_opposite","2","be_1_1r","break_even_at_1_1r","2","reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__h1_conf_h4_notopp__be_1_1r_2025.set","reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__h1_conf_h4_notopp__be_1_1r_2025.ini"
"london_first120__h1_conf_h4_notopp__be_30m_0_5r","london_first120","london_first120_reference","6","h1_conf_h4_notopp","h1_confirmed_h4_not_opposite","2","be_30m_0_5r","time_30min_and_0_5r_break_even","3","reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__h1_conf_h4_notopp__be_30m_0_5r_2025.set","reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__h1_conf_h4_notopp__be_30m_0_5r_2025.ini"
"london_first120__soft__no_be","london_first120","london_first120_reference","6","soft","htf_soft_alignment","3","no_be","no_break_even","0","reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__soft__no_be_2025.set","reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__soft__no_be_2025.ini"
"london_first120__soft__be_1_0r","london_first120","london_first120_reference","6","soft","htf_soft_alignment","3","be_1_0r","break_even_at_1_0r","1","reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__soft__be_1_0r_2025.set","reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__soft__be_1_0r_2025.ini"
"london_first120__soft__be_1_1r","london_first120","london_first120_reference","6","soft","htf_soft_alignment","3","be_1_1r","break_even_at_1_1r","2","reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__soft__be_1_1r_2025.set","reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__soft__be_1_1r_2025.ini"
"london_first120__soft__be_30m_0_5r","london_first120","london_first120_reference","6","soft","htf_soft_alignment","3","be_30m_0_5r","time_30min_and_0_5r_break_even","3","reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__soft__be_30m_0_5r_2025.set","reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__soft__be_30m_0_5r_2025.ini"
"tokyo_first120__strict__no_be","tokyo_first120","tokyo_first120_reference","5","strict","strict_h4_h1_alignment","0","no_be","no_break_even","0","reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__strict__no_be_2025.set","reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__strict__no_be_2025.ini"
"tokyo_first120__strict__be_1_0r","tokyo_first120","tokyo_first120_reference","5","strict","strict_h4_h1_alignment","0","be_1_0r","break_even_at_1_0r","1","reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__strict__be_1_0r_2025.set","reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__strict__be_1_0r_2025.ini"
"tokyo_first120__strict__be_1_1r","tokyo_first120","tokyo_first120_reference","5","strict","strict_h4_h1_alignment","0","be_1_1r","break_even_at_1_1r","2","reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__strict__be_1_1r_2025.set","reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__strict__be_1_1r_2025.ini"
"tokyo_first120__strict__be_30m_0_5r","tokyo_first120","tokyo_first120_reference","5","strict","strict_h4_h1_alignment","0","be_30m_0_5r","time_30min_and_0_5r_break_even","3","reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__strict__be_30m_0_5r_2025.set","reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__strict__be_30m_0_5r_2025.ini"
"tokyo_first120__h4_bias_h1_rev__no_be","tokyo_first120","tokyo_first120_reference","5","h4_bias_h1_rev","h4_bias_h1_reversal_alignment","1","no_be","no_break_even","0","reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h4_bias_h1_rev__no_be_2025.set","reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h4_bias_h1_rev__no_be_2025.ini"
"tokyo_first120__h4_bias_h1_rev__be_1_0r","tokyo_first120","tokyo_first120_reference","5","h4_bias_h1_rev","h4_bias_h1_reversal_alignment","1","be_1_0r","break_even_at_1_0r","1","reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h4_bias_h1_rev__be_1_0r_2025.set","reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h4_bias_h1_rev__be_1_0r_2025.ini"
"tokyo_first120__h4_bias_h1_rev__be_1_1r","tokyo_first120","tokyo_first120_reference","5","h4_bias_h1_rev","h4_bias_h1_reversal_alignment","1","be_1_1r","break_even_at_1_1r","2","reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h4_bias_h1_rev__be_1_1r_2025.set","reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h4_bias_h1_rev__be_1_1r_2025.ini"
"tokyo_first120__h4_bias_h1_rev__be_30m_0_5r","tokyo_first120","tokyo_first120_reference","5","h4_bias_h1_rev","h4_bias_h1_reversal_alignment","1","be_30m_0_5r","time_30min_and_0_5r_break_even","3","reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h4_bias_h1_rev__be_30m_0_5r_2025.set","reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h4_bias_h1_rev__be_30m_0_5r_2025.ini"
"tokyo_first120__h1_conf_h4_notopp__no_be","tokyo_first120","tokyo_first120_reference","5","h1_conf_h4_notopp","h1_confirmed_h4_not_opposite","2","no_be","no_break_even","0","reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h1_conf_h4_notopp__no_be_2025.set","reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h1_conf_h4_notopp__no_be_2025.ini"
"tokyo_first120__h1_conf_h4_notopp__be_1_0r","tokyo_first120","tokyo_first120_reference","5","h1_conf_h4_notopp","h1_confirmed_h4_not_opposite","2","be_1_0r","break_even_at_1_0r","1","reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h1_conf_h4_notopp__be_1_0r_2025.set","reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h1_conf_h4_notopp__be_1_0r_2025.ini"
"tokyo_first120__h1_conf_h4_notopp__be_1_1r","tokyo_first120","tokyo_first120_reference","5","h1_conf_h4_notopp","h1_confirmed_h4_not_opposite","2","be_1_1r","break_even_at_1_1r","2","reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h1_conf_h4_notopp__be_1_1r_2025.set","reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h1_conf_h4_notopp__be_1_1r_2025.ini"
"tokyo_first120__h1_conf_h4_notopp__be_30m_0_5r","tokyo_first120","tokyo_first120_reference","5","h1_conf_h4_notopp","h1_confirmed_h4_not_opposite","2","be_30m_0_5r","time_30min_and_0_5r_break_even","3","reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h1_conf_h4_notopp__be_30m_0_5r_2025.set","reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h1_conf_h4_notopp__be_30m_0_5r_2025.ini"
"tokyo_first120__soft__no_be","tokyo_first120","tokyo_first120_reference","5","soft","htf_soft_alignment","3","no_be","no_break_even","0","reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__soft__no_be_2025.set","reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__soft__no_be_2025.ini"
"tokyo_first120__soft__be_1_0r","tokyo_first120","tokyo_first120_reference","5","soft","htf_soft_alignment","3","be_1_0r","break_even_at_1_0r","1","reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__soft__be_1_0r_2025.set","reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__soft__be_1_0r_2025.ini"
"tokyo_first120__soft__be_1_1r","tokyo_first120","tokyo_first120_reference","5","soft","htf_soft_alignment","3","be_1_1r","break_even_at_1_1r","2","reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__soft__be_1_1r_2025.set","reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__soft__be_1_1r_2025.ini"
"tokyo_first120__soft__be_30m_0_5r","tokyo_first120","tokyo_first120_reference","5","soft","htf_soft_alignment","3","be_30m_0_5r","time_30min_and_0_5r_break_even","3","reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__soft__be_30m_0_5r_2025.set","reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__soft__be_30m_0_5r_2025.ini"
