run_id,scenario_id,scenario_name,scenario_mode,experiment_id,htf_permission_id,htf_permission_mode,htf_permission_value,htf_alignment_mode,htf_alignment_value,break_even_id,break_even_mode,break_even_value,filter_orderable_before_session_selection,diagnostic_only,preset,tester_ini
one_first120__h1_h4_notopp__no_be,one_symbol_first120,session_reversal_pullback_one_symbol_first120,1,prefilter_h1_h4_notopp,h1_h4_notopp,h1_direction_h4_not_opposite_pre_filter,1,strict_h4_h1_alignment,0,no_be,no_break_even,0,True,False,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__h1_h4_notopp__no_be_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__h1_h4_notopp__no_be_2025.ini
one_first120__h1_h4_notopp__be_1_1r,one_symbol_first120,session_reversal_pullback_one_symbol_first120,1,prefilter_h1_h4_notopp,h1_h4_notopp,h1_direction_h4_not_opposite_pre_filter,1,strict_h4_h1_alignment,0,be_1_1r,break_even_at_1_1r,2,True,False,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__h1_h4_notopp__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__h1_h4_notopp__be_1_1r_2025.ini
one_first120__h4_bias_h1_rev__no_be,one_symbol_first120,session_reversal_pullback_one_symbol_first120,1,prefilter_h4_bias_h1_reversal,h4_bias_h1_rev,h4_bias_h1_reversal_pre_filter,2,strict_h4_h1_alignment,0,no_be,no_break_even,0,True,False,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__h4_bias_h1_rev__no_be_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__h4_bias_h1_rev__no_be_2025.ini
one_first120__h4_bias_h1_rev__be_1_1r,one_symbol_first120,session_reversal_pullback_one_symbol_first120,1,prefilter_h4_bias_h1_reversal,h4_bias_h1_rev,h4_bias_h1_reversal_pre_filter,2,strict_h4_h1_alignment,0,be_1_1r,break_even_at_1_1r,2,True,False,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__h4_bias_h1_rev__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__h4_bias_h1_rev__be_1_1r_2025.ini
one_first120__soft__no_be,one_symbol_first120,session_reversal_pullback_one_symbol_first120,1,prefilter_soft,soft,soft_pre_filter,3,strict_h4_h1_alignment,0,no_be,no_break_even,0,True,False,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__soft__no_be_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__soft__no_be_2025.ini
one_first120__soft__be_1_1r,one_symbol_first120,session_reversal_pullback_one_symbol_first120,1,prefilter_soft,soft,soft_pre_filter,3,strict_h4_h1_alignment,0,be_1_1r,break_even_at_1_1r,2,True,False,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__soft__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_one_first120__soft__be_1_1r_2025.ini
clean_first120__baseline__no_be,clean_target_path_first120,session_reversal_pullback_clean_target_path_first120,3,baseline_current,baseline,current_post_filter,0,strict_h4_h1_alignment,0,no_be,no_break_even,0,False,False,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_clean_first120__baseline__no_be_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_clean_first120__baseline__no_be_2025.ini
clean_first120__baseline__be_1_1r,clean_target_path_first120,session_reversal_pullback_clean_target_path_first120,3,baseline_current,baseline,current_post_filter,0,strict_h4_h1_alignment,0,be_1_1r,break_even_at_1_1r,2,False,False,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_clean_first120__baseline__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_clean_first120__baseline__be_1_1r_2025.ini
clean_first120__h1_h4_notopp__no_be,clean_target_path_first120,session_reversal_pullback_clean_target_path_first120,3,prefilter_h1_h4_notopp,h1_h4_notopp,h1_direction_h4_not_opposite_pre_filter,1,strict_h4_h1_alignment,0,no_be,no_break_even,0,True,False,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_clean_first120__h1_h4_notopp__no_be_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_clean_first120__h1_h4_notopp__no_be_2025.ini
clean_first120__h1_h4_notopp__be_1_1r,clean_target_path_first120,session_reversal_pullback_clean_target_path_first120,3,prefilter_h1_h4_notopp,h1_h4_notopp,h1_direction_h4_not_opposite_pre_filter,1,strict_h4_h1_alignment,0,be_1_1r,break_even_at_1_1r,2,True,False,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_clean_first120__h1_h4_notopp__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_clean_first120__h1_h4_notopp__be_1_1r_2025.ini
clean_first120__h4_bias_h1_rev__no_be,clean_target_path_first120,session_reversal_pullback_clean_target_path_first120,3,prefilter_h4_bias_h1_reversal,h4_bias_h1_rev,h4_bias_h1_reversal_pre_filter,2,strict_h4_h1_alignment,0,no_be,no_break_even,0,True,False,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_clean_first120__h4_bias_h1_rev__no_be_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_clean_first120__h4_bias_h1_rev__no_be_2025.ini
clean_first120__h4_bias_h1_rev__be_1_1r,clean_target_path_first120,session_reversal_pullback_clean_target_path_first120,3,prefilter_h4_bias_h1_reversal,h4_bias_h1_rev,h4_bias_h1_reversal_pre_filter,2,strict_h4_h1_alignment,0,be_1_1r,break_even_at_1_1r,2,True,False,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_clean_first120__h4_bias_h1_rev__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_clean_first120__h4_bias_h1_rev__be_1_1r_2025.ini
clean_first120__soft__no_be,clean_target_path_first120,session_reversal_pullback_clean_target_path_first120,3,prefilter_soft,soft,soft_pre_filter,3,strict_h4_h1_alignment,0,no_be,no_break_even,0,True,False,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_clean_first120__soft__no_be_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_clean_first120__soft__no_be_2025.ini
clean_first120__soft__be_1_1r,clean_target_path_first120,session_reversal_pullback_clean_target_path_first120,3,prefilter_soft,soft,soft_pre_filter,3,strict_h4_h1_alignment,0,be_1_1r,break_even_at_1_1r,2,True,False,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_clean_first120__soft__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_clean_first120__soft__be_1_1r_2025.ini
london_first120__baseline__no_be,london_first120,london_first120_reference,6,baseline_current,baseline,current_post_filter,0,strict_h4_h1_alignment,0,no_be,no_break_even,0,False,True,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__baseline__no_be_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__baseline__no_be_2025.ini
london_first120__baseline__be_1_1r,london_first120,london_first120_reference,6,baseline_current,baseline,current_post_filter,0,strict_h4_h1_alignment,0,be_1_1r,break_even_at_1_1r,2,False,True,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__baseline__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__baseline__be_1_1r_2025.ini
london_first120__h1_h4_notopp__no_be,london_first120,london_first120_reference,6,prefilter_h1_h4_notopp,h1_h4_notopp,h1_direction_h4_not_opposite_pre_filter,1,strict_h4_h1_alignment,0,no_be,no_break_even,0,True,True,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__h1_h4_notopp__no_be_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__h1_h4_notopp__no_be_2025.ini
london_first120__h1_h4_notopp__be_1_1r,london_first120,london_first120_reference,6,prefilter_h1_h4_notopp,h1_h4_notopp,h1_direction_h4_not_opposite_pre_filter,1,strict_h4_h1_alignment,0,be_1_1r,break_even_at_1_1r,2,True,True,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__h1_h4_notopp__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__h1_h4_notopp__be_1_1r_2025.ini
london_first120__h4_bias_h1_rev__no_be,london_first120,london_first120_reference,6,prefilter_h4_bias_h1_reversal,h4_bias_h1_rev,h4_bias_h1_reversal_pre_filter,2,strict_h4_h1_alignment,0,no_be,no_break_even,0,True,True,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__h4_bias_h1_rev__no_be_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__h4_bias_h1_rev__no_be_2025.ini
london_first120__h4_bias_h1_rev__be_1_1r,london_first120,london_first120_reference,6,prefilter_h4_bias_h1_reversal,h4_bias_h1_rev,h4_bias_h1_reversal_pre_filter,2,strict_h4_h1_alignment,0,be_1_1r,break_even_at_1_1r,2,True,True,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__h4_bias_h1_rev__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__h4_bias_h1_rev__be_1_1r_2025.ini
london_first120__soft__no_be,london_first120,london_first120_reference,6,prefilter_soft,soft,soft_pre_filter,3,strict_h4_h1_alignment,0,no_be,no_break_even,0,True,True,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__soft__no_be_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__soft__no_be_2025.ini
london_first120__soft__be_1_1r,london_first120,london_first120_reference,6,prefilter_soft,soft,soft_pre_filter,3,strict_h4_h1_alignment,0,be_1_1r,break_even_at_1_1r,2,True,True,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__soft__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__soft__be_1_1r_2025.ini
tokyo_first120__baseline__no_be,tokyo_first120,tokyo_first120_reference,5,baseline_current,baseline,current_post_filter,0,strict_h4_h1_alignment,0,no_be,no_break_even,0,False,True,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__baseline__no_be_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__baseline__no_be_2025.ini
tokyo_first120__baseline__be_1_1r,tokyo_first120,tokyo_first120_reference,5,baseline_current,baseline,current_post_filter,0,strict_h4_h1_alignment,0,be_1_1r,break_even_at_1_1r,2,False,True,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__baseline__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__baseline__be_1_1r_2025.ini
tokyo_first120__h1_h4_notopp__no_be,tokyo_first120,tokyo_first120_reference,5,prefilter_h1_h4_notopp,h1_h4_notopp,h1_direction_h4_not_opposite_pre_filter,1,strict_h4_h1_alignment,0,no_be,no_break_even,0,True,True,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h1_h4_notopp__no_be_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h1_h4_notopp__no_be_2025.ini
tokyo_first120__h1_h4_notopp__be_1_1r,tokyo_first120,tokyo_first120_reference,5,prefilter_h1_h4_notopp,h1_h4_notopp,h1_direction_h4_not_opposite_pre_filter,1,strict_h4_h1_alignment,0,be_1_1r,break_even_at_1_1r,2,True,True,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h1_h4_notopp__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h1_h4_notopp__be_1_1r_2025.ini
tokyo_first120__h4_bias_h1_rev__no_be,tokyo_first120,tokyo_first120_reference,5,prefilter_h4_bias_h1_reversal,h4_bias_h1_rev,h4_bias_h1_reversal_pre_filter,2,strict_h4_h1_alignment,0,no_be,no_break_even,0,True,True,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h4_bias_h1_rev__no_be_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h4_bias_h1_rev__no_be_2025.ini
tokyo_first120__h4_bias_h1_rev__be_1_1r,tokyo_first120,tokyo_first120_reference,5,prefilter_h4_bias_h1_reversal,h4_bias_h1_rev,h4_bias_h1_reversal_pre_filter,2,strict_h4_h1_alignment,0,be_1_1r,break_even_at_1_1r,2,True,True,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h4_bias_h1_rev__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__h4_bias_h1_rev__be_1_1r_2025.ini
tokyo_first120__soft__no_be,tokyo_first120,tokyo_first120_reference,5,prefilter_soft,soft,soft_pre_filter,3,strict_h4_h1_alignment,0,no_be,no_break_even,0,True,True,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__soft__no_be_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__soft__no_be_2025.ini
tokyo_first120__soft__be_1_1r,tokyo_first120,tokyo_first120_reference,5,prefilter_soft,soft,soft_pre_filter,3,strict_h4_h1_alignment,0,be_1_1r,break_even_at_1_1r,2,True,True,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__soft__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_tokyo_first120__soft__be_1_1r_2025.ini
newyork_first120__baseline__no_be,newyork_first120,newyork_first120_reference,7,baseline_current,baseline,current_post_filter,0,strict_h4_h1_alignment,0,no_be,no_break_even,0,False,True,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_newyork_first120__baseline__no_be_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_newyork_first120__baseline__no_be_2025.ini
newyork_first120__baseline__be_1_1r,newyork_first120,newyork_first120_reference,7,baseline_current,baseline,current_post_filter,0,strict_h4_h1_alignment,0,be_1_1r,break_even_at_1_1r,2,False,True,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_newyork_first120__baseline__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_newyork_first120__baseline__be_1_1r_2025.ini
newyork_first120__h1_h4_notopp__no_be,newyork_first120,newyork_first120_reference,7,prefilter_h1_h4_notopp,h1_h4_notopp,h1_direction_h4_not_opposite_pre_filter,1,strict_h4_h1_alignment,0,no_be,no_break_even,0,True,True,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_newyork_first120__h1_h4_notopp__no_be_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_newyork_first120__h1_h4_notopp__no_be_2025.ini
newyork_first120__h1_h4_notopp__be_1_1r,newyork_first120,newyork_first120_reference,7,prefilter_h1_h4_notopp,h1_h4_notopp,h1_direction_h4_not_opposite_pre_filter,1,strict_h4_h1_alignment,0,be_1_1r,break_even_at_1_1r,2,True,True,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_newyork_first120__h1_h4_notopp__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_newyork_first120__h1_h4_notopp__be_1_1r_2025.ini
newyork_first120__h4_bias_h1_rev__no_be,newyork_first120,newyork_first120_reference,7,prefilter_h4_bias_h1_reversal,h4_bias_h1_rev,h4_bias_h1_reversal_pre_filter,2,strict_h4_h1_alignment,0,no_be,no_break_even,0,True,True,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_newyork_first120__h4_bias_h1_rev__no_be_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_newyork_first120__h4_bias_h1_rev__no_be_2025.ini
newyork_first120__h4_bias_h1_rev__be_1_1r,newyork_first120,newyork_first120_reference,7,prefilter_h4_bias_h1_reversal,h4_bias_h1_rev,h4_bias_h1_reversal_pre_filter,2,strict_h4_h1_alignment,0,be_1_1r,break_even_at_1_1r,2,True,True,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_newyork_first120__h4_bias_h1_rev__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_newyork_first120__h4_bias_h1_rev__be_1_1r_2025.ini
newyork_first120__soft__no_be,newyork_first120,newyork_first120_reference,7,prefilter_soft,soft,soft_pre_filter,3,strict_h4_h1_alignment,0,no_be,no_break_even,0,True,True,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_newyork_first120__soft__no_be_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_newyork_first120__soft__no_be_2025.ini
newyork_first120__soft__be_1_1r,newyork_first120,newyork_first120_reference,7,prefilter_soft,soft,soft_pre_filter,3,strict_h4_h1_alignment,0,be_1_1r,break_even_at_1_1r,2,True,True,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_newyork_first120__soft__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_newyork_first120__soft__be_1_1r_2025.ini
london_first120__london_focused_diagnostic__be_1_1r,london_first120,london_first120_reference,6,london_focused_diagnostic,h1_h4_notopp,h1_direction_h4_not_opposite_pre_filter,1,strict_h4_h1_alignment,0,be_1_1r,break_even_at_1_1r,2,True,True,reports/presets/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__london_focused_diagnostic__be_1_1r_2025.set,reports/backtest/ExpectedValue_MultiCurrency_FXSessionReversalPullbackTrader_london_first120__london_focused_diagnostic__be_1_1r_2025.ini
